, Metric: Tickets incoming, SubsetType: IMPACT, From 2018-01-01 to 2019-10-03,,
date, group_name,impact, case_id,sev,nTicketBySev
2018-07-02 18:06:32 UTC, group-a,3,155514544,,
2018-07-04 05:00:04 UTC, group-a,5,155695166,,
2018-07-05 12:22:36 UTC, group-a,3,155857438,,
2018-07-05 19:19:58 UTC, group-a,2,155889650,,
2018-07-06 18:18:10 UTC, group-a,3,156019751,,
2018-07-07 22:06:03 UTC, group-a,3,156107993,,
2018-07-09 11:04:13 UTC, group-a,3,155369410,,
2018-07-09 11:05:36 UTC, group-a,3,155368675,,
2018-07-09 12:04:54 UTC, group-a,3,156224248,,
2018-07-10 15:03:56 UTC, group-g,5,156378334,,
2018-07-10 22:37:30 UTC, group-a,3,156421637,,
2018-07-10 22:37:55 UTC, group-a,2,156422410,,
2018-07-10 23:45:41 UTC, group-a,2,156425647,,
2018-07-10 23:45:46 UTC, group-a,3,156425253,,
2018-07-12 16:58:50 UTC, group-a,5,156663602,,
2018-07-12 20:44:47 UTC, group-a,3,156681367,,
2018-07-12 22:56:30 UTC, group-a,5,156689090,,
2018-07-13 05:26:10 UTC, group-a,3,156720854,,
2018-07-13 16:34:36 UTC, group-a,3,156782492,,
2018-07-13 19:36:33 UTC, group-a,2,156806011,,
2018-07-13 21:36:46 UTC, group-a,3,156812363,,
2018-07-16 02:40:34 UTC, group-a,3,156961949,,
2018-07-16 17:27:05 UTC, group-a,3,155676335,,
2018-07-16 19:30:06 UTC, group-a,3,157067393,,
2018-07-16 19:30:46 UTC, group-a,2,157067797,,
2018-07-17 11:43:01 UTC, group-a,2,157154305,,
2018-07-17 18:39:20 UTC, group-a,3,157197812,,
2018-07-18 16:47:04 UTC, group-a,3,157321410,,
2018-07-18 21:49:34 UTC, group-a,3,157348367,,
2018-07-23 06:47:04 UTC, group-a,3,157768209,,
2018-07-23 17:16:45 UTC, group-a,2,157839523,,
2018-07-23 19:42:25 UTC, group-a,3,157853532,,
2018-07-23 19:47:55 UTC, group-a,3,157853953,,
2018-07-24 19:52:51 UTC, group-a,5,157990825,,
2018-07-25 00:15:48 UTC, group-a,3,158010966,,
2018-07-25 00:23:51 UTC, group-a,3,158007186,,
2018-07-25 05:02:31 UTC, group-a,3,158032319,,
2018-07-25 20:30:15 UTC, group-a,3,158125761,,
2018-07-25 21:27:02 UTC, group-a,2,158131901,,
2018-07-26 07:46:29 UTC, group-a,3,158179791,,
2018-07-26 07:47:04 UTC, group-a,2,158181423,,
2018-07-26 12:57:29 UTC, group-a,3,158213817,,
2018-07-26 17:30:09 UTC, group-a,3,158242965,,
2018-07-26 17:30:09 UTC, group-a,3,158242964,,
2018-07-26 17:30:10 UTC, group-a,3,158244931,,
2018-07-26 17:30:14 UTC, group-a,2,158242966,,
2018-07-26 17:30:15 UTC, group-a,2,158244933,,
2018-07-26 17:57:07 UTC, group-a,3,158248418,,
2018-07-26 18:38:08 UTC, group-a,3,158254064,,
2018-07-26 19:11:54 UTC, group-g,5,158257650,,
2018-07-26 22:08:30 UTC, group-a,3,158272668,,
2018-07-26 22:21:13 UTC, group-a,3,158275706,,
2018-07-26 23:15:29 UTC, group-a,3,158276564,,
2018-07-27 02:39:22 UTC, group-a,2,158291762,,
2018-07-27 02:39:22 UTC, group-a,2,158291883,,
2018-07-27 02:39:32 UTC, group-a,3,158291192,,
2018-07-27 02:39:43 UTC, group-a,3,158292534,,
2018-07-27 02:43:01 UTC, group-a,2,158291772,,
2018-07-27 06:02:01 UTC, group-a,3,158306650,,
2018-07-27 09:36:30 UTC, group-a,3,158331517,,
2018-07-27 09:37:06 UTC, group-a,2,158326158,,
2018-07-29 05:57:18 UTC, group-a,3,158492111,,
2018-07-29 18:51:31 UTC, group-a,3,158521470,,
2018-07-30 13:48:05 UTC, group-a,3,158604422,,
2018-07-30 13:49:19 UTC, group-a,2,158602362,,
2018-07-30 13:49:19 UTC, group-a,2,158603450,,
2018-07-30 13:49:24 UTC, group-a,3,158604614,,
2018-07-30 13:51:10 UTC, group-a,2,158604648,,
2018-07-30 18:33:13 UTC, group-a,3,158632380,,
2018-07-31 04:01:22 UTC, group-a,3,158676376,,
2018-08-01 22:24:30 UTC, group-a,3,158928786,,
2018-08-03 17:37:32 UTC, group-a,3,159186476,,
2018-08-03 18:31:54 UTC, group-a,3,157321410,,
2018-08-04 03:59:35 UTC, group-a,3,159230349,,
2018-08-06 11:53:02 UTC, group-z,3,158516416,,
2018-08-06 23:53:46 UTC, group-a,3,159470308,,
2018-08-07 04:07:12 UTC, group-a,3,159487159,,
2018-08-07 14:43:26 UTC, group-g,3,159556075,,
2018-08-09 13:29:11 UTC, group-a,3,159815258,,
2018-08-09 17:17:32 UTC, group-a,3,159842316,,
2018-08-11 11:47:49 UTC, group-a,3,160044962,,
2018-08-11 15:17:37 UTC, group-a,3,160059629,,
2018-08-11 15:17:47 UTC, group-a,2,160059051,,
2018-08-12 01:21:26 UTC, group-a,3,160087600,,
2018-08-13 06:06:25 UTC, group-a,3,160163639,,
2018-08-13 19:29:21 UTC, group-a,4,160242971,,
2018-08-14 00:27:03 UTC, group-a,3,160268776,,
2018-08-14 05:41:13 UTC, group-a,3,160294414,,
2018-08-14 07:03:25 UTC, group-a,3,160300931,,
2018-08-14 18:12:07 UTC, group-a,3,160372548,,
2018-08-15 00:32:11 UTC, group-a,5,160404235,,
2018-08-15 18:51:58 UTC, group-a,3,160490037,,
2018-08-15 19:57:46 UTC, group-a,3,160496515,,
2018-08-15 21:35:58 UTC, group-a,5,160499399,,
2018-08-16 20:36:38 UTC, group-a,3,160628421,,
2018-08-17 10:45:39 UTC, group-a,4, E039435448,,
2018-08-17 14:53:58 UTC, group-a,4, E039446102,,
2018-08-17 19:29:24 UTC, group-a,3,160748238,,
2018-08-17 19:29:35 UTC, group-a,3,160746095,,
2018-08-17 19:30:00 UTC, group-a,2,160746097,,
2018-08-17 19:30:00 UTC, group-a,2,160748640,,
2018-08-17 21:22:08 UTC, group-a,3,160760407,,
2018-08-19 22:03:27 UTC, group-a,3,160888983,,
2018-08-20 15:30:48 UTC, group-a,3,160976405,,
2018-08-20 18:02:36 UTC, group-a,3,160988098,,
2018-08-20 18:02:47 UTC, group-a,2,160991824,,
2018-08-20 18:02:47 UTC, group-a,2,160987099,,
2018-08-21 19:17:25 UTC, group-a,4, E039527549,,
2018-08-21 20:29:31 UTC, group-a,2, E039544512,,
2018-08-22 01:22:02 UTC, group-a,3,159815258,,
2018-08-22 17:54:26 UTC, group-g,5,161257534,,
2018-08-22 19:25:06 UTC, group-a,3,161263780,,
2018-08-23 07:42:01 UTC, group-a,3,161324869,,
2018-08-23 16:04:21 UTC, group-a,4, E039575099,,
2018-08-24 14:48:22 UTC, group-g,4,161499250,,
2018-08-26 20:50:32 UTC, group-a,2,161666521,,
2018-08-27 00:43:36 UTC, group-a,3,161673893,,
2018-08-27 16:08:32 UTC, group-a,3,161751977,,
2018-08-27 18:20:53 UTC, group-a,2,161766734,,
2018-08-28 16:03:00 UTC, group-a,3,161894952,,
2018-08-28 19:28:47 UTC, group-a,3,161921302,,
2018-08-29 16:04:36 UTC, group-a,5,161887545,,
2018-08-29 17:18:24 UTC, group-a,3,162041054,,
2018-08-30 15:39:32 UTC, group-g,3, E039784913,,
2018-08-30 22:25:04 UTC, group-a,3,162203571,,
2018-08-30 22:26:04 UTC, group-a,2,162204723,,
2018-09-01 08:56:06 UTC, group-a,3,162360596,,
2018-09-03 23:37:37 UTC, group-a,3,162561559,,
2018-09-05 14:41:20 UTC, group-a,2,162782798,,
2018-09-05 14:41:25 UTC, group-a,3,162786662,,
2018-09-05 14:41:32 UTC, group-a,3,162788405,,
2018-09-06 22:16:08 UTC, group-a,3,162976203,,
2018-09-07 00:44:59 UTC, group-a,3,162986302,,
2018-09-07 18:31:42 UTC, group-a,5,163079861,,
2018-09-08 12:22:33 UTC, group-a,3,163144947,,
2018-09-09 04:13:34 UTC, group-a,3,163179395,,
2018-09-09 09:42:05 UTC, group-a,3,163198419,,
2018-09-10 05:47:14 UTC, group-a,5,163251218,,
2018-09-11 16:50:15 UTC, group-a,3,163456937,,
2018-09-11 17:18:05 UTC, group-a,3,163458547,,
2018-09-11 18:25:37 UTC, group-a,3,163463874,,
2018-09-11 18:25:43 UTC, group-a,2,163467122,,
2018-09-11 18:30:36 UTC, group-a,2,163467129,,
2018-09-11 18:30:57 UTC, group-a,3,163465549,,
2018-09-11 21:23:56 UTC, group-a,2,163483240,,
2018-09-11 21:23:57 UTC, group-a,3,163481183,,
2018-09-12 22:18:27 UTC, group-a,3,163627083,,
2018-09-12 22:18:33 UTC, group-a,3,163626492,,
2018-09-12 22:20:41 UTC, group-a,2,163626497,,
2018-09-13 15:45:21 UTC, group-a,3,163720555,,
2018-09-14 17:54:02 UTC, group-a,2,163857310,,
2018-09-14 17:54:24 UTC, group-a,3,163857311,,
2018-09-14 20:11:20 UTC, group-a,3,163868828,,
2018-09-15 01:21:37 UTC, group-a,3,159815258,,
2018-09-15 04:46:15 UTC, group-a,2,163897831,,
2018-09-16 00:21:26 UTC, group-a,3,159815258,,
2018-09-16 16:05:11 UTC, group-z,3,163984263,,
2018-09-17 07:49:46 UTC, group-a,5,164035319,,
2018-09-17 18:41:33 UTC, group-a,3,164101252,,
2018-09-17 19:53:06 UTC, group-a,3, E040158143,,
2018-09-17 20:13:58 UTC, group-a,3, E040188609,,
2018-09-18 16:33:19 UTC, group-a,2,164219378,,
2018-09-18 16:33:32 UTC, group-a,3,164224300,,
2018-09-19 21:54:48 UTC, group-a,3,164385612,,
2018-09-19 22:16:06 UTC, group-a,3,164385659,,
2018-09-21 20:56:24 UTC, group-a,3,164642145,,
2018-09-22 08:48:08 UTC, group-a,3,164680856,,
2018-09-23 02:04:37 UTC, group-a,3,164729038,,
2018-09-24 16:49:40 UTC, group-a,5,164852381,,
2018-09-24 18:30:27 UTC, group-a,2,164864212,,
2018-09-24 19:27:08 UTC, group-a,3,164865380,,
2018-09-25 18:55:20 UTC, group-a,5,164996114,,
2018-09-25 19:57:50 UTC, group-a,3,164998571,,
2018-09-25 20:12:00 UTC, group-a,3,164999695,,
2018-09-26 07:17:33 UTC, group-a,3,165055673,,
2018-09-26 07:21:19 UTC, group-a,2,165058410,,
2018-09-26 17:18:37 UTC, group-a,3,165120987,,
2018-09-26 18:43:03 UTC, group-a,2,165135328,,
2018-09-26 21:12:53 UTC, group-a,3,165148191,,
2018-09-26 21:14:57 UTC, group-a,3,165149745,,
2018-09-27 00:00:33 UTC, group-a,3,165167531,,
2018-09-27 00:02:47 UTC, group-a,2,165168809,,
2018-09-27 18:03:32 UTC, group-a,3,165278701,,
2018-09-27 21:57:52 UTC, group-a,3,165299610,,
2018-09-28 19:24:02 UTC, group-a,5,165419274,,
2018-09-30 02:11:33 UTC, group-a,3,165521111,,
2018-10-01 05:27:44 UTC, group-a,3,165389543,,
2018-10-01 19:16:23 UTC, group-a,3,165676903,,
2018-10-01 19:17:05 UTC, group-a,3,165672770,,
2018-10-01 22:00:44 UTC, group-a,2,165691025,,
2018-10-02 23:36:58 UTC, group-a,3,165813173,,
2018-10-03 17:19:23 UTC, group-a,3,165906871,,
2018-10-03 20:18:34 UTC, group-a,3, E040683034,,
2018-10-04 11:52:00 UTC, group-a,3,166008511,,
2018-10-04 17:25:08 UTC, group-a,3,166038375,,
2018-10-04 22:23:15 UTC, group-a,3,166074440,,
2018-10-07 10:21:08 UTC, group-a,3,166308531,,
2018-10-08 21:28:08 UTC, group-a,3,165793043,,
2018-10-08 21:29:45 UTC, group-a,3,165784365,,
2018-10-08 23:12:11 UTC, group-a,3,166466928,,
2018-10-09 07:12:07 UTC, group-a,3,166505778,,
2018-10-09 19:41:13 UTC, group-a,3,166592525,,
2018-10-10 01:50:21 UTC, group-a,3,166621149,,
